Unnamed: 0,"Indicator name: Completion rate,  primary",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,,,,,,,Total,Gender,,Residence,,Wealth quintile,,,,,,,,,,,,
ISO_Code,Country,Region,Sub-region,Least developed countries (LDC),Africa sub-regions,Africa region,Total,Male,Female,Urban,Rural,Poorest,Second,Middle,Fourth,Richest,Source," Total Population, one year before primary ",,,,,,
AFG,Afghanistan,SA,,LDC,,, 54 , 67 , 40 , 71 , 48 , 45 , 46 , 43 , 60 , 75 , DHS 2015  ," 6,170,913 ",3160379.0,3010534.0,1606041.81738,4564871.18262,26.026,73.974
ALB,Albania,ECA,EECA,,,, 92 , 91 , 93 , 94 , 89 , 87 , 91 , 94 , 92 , 98 , DHS 2017-18 ," 156,833 ",81809.0,75024.0,97412.11296,59420.88704,62.112,37.888
DZA,Algeria,MENA,,,Northern Africa,All, 94 , 93 , 94 , 95 , 91 , 86 , 95 , 94 , 96 , 99 , MICS 2012-13 ," 4,040,275 ",2060745.0,1979530.0,2979015.96575,1061259.03425,73.733,26.267
AND,Andorra,ECA,WE,,,,,,,,,,,,,,,,,,,,87.916,12.084
AGO,Angola,SSA,ESA,LDC,Southern Africa,All, 51 , 53 , 49 , 64 , 21 , 15 , 23 , 44 , 68 , 82 , DHS 2015-16 ," 5,482,624 ",2722689.0,2759935.0,3663763.488,1818860.512,66.825,33.175
AIA,Anguilla,LAC,,,,,,,,,,,,,,,,,,,,,100.0,0.0
ATG,Antigua and Barbuda,LAC,,,,,,,,,,,,,,,," 11,295 ",5664.0,5631.0,2759.70735,8535.29265,24.433,75.567
ARG,Argentina,LAC,,,,, 96 , 95 , 97 ,,, 93 , 95 , 97 , 99 , 98 , MICS 2011-12 ," 4,392,825 ",2233807.0,2159018.0,4046275.03575,346549.96425,92.111,7.889
ARM,Armenia,ECA,EECA,,,, 100 , 100 , 99 , 100 , 100 , 99 , 100 , 99 , 100 , 100 , DHS 2015-16 ," 164,439 ",87617.0,76822.0,104111.26407,60327.73593,63.313,36.687
AUS,Australia,EAP,,,,,,,,,,,,,,,," 2,230,566 ",1144328.0,1086238.0,1923662.42406,306903.57594,86.241,13.759
AUT,Austria,ECA,WE,,,,,,,,,,,,,,," 322,679 ",165921.0,156758.0,189567.45892,133111.54108,58.748,41.252
AZE,Azerbaijan,ECA,EECA,,,,,,,,,,,,,,," 588,021 ",316067.0,271954.0,331626.20337,256394.79663,56.397,43.603
BHS,Bahamas,LAC,,,,,,,,,,,,,,,," 33,398 ",17091.0,16307.0,27802.1651,5595.8349,83.245,16.755
BHR,Bahrain,MENA,,,,,,,,,,,,,,,," 115,525 ",58593.0,56932.0,103401.8065,12123.1935,89.506,10.494
BGD,Bangladesh,SA,,LDC,,, 74 , 69 , 79 , 74 , 74 , 56 , 69 , 80 , 82 , 84 , DHS 2014 ," 15,528,512 ",7929761.0,7598751.0,5928320.02624,9600191.97376,38.177,61.823
BRB,Barbados,LAC,,,,, 99 , 99 , 99 , 99 , 99 , 97 , 98 , 100 , 99 , 100 , MICS 2012 ," 22,072 ",11296.0,10776.0,6884.47752,15187.52248,31.191,68.809
BLR,Belarus,ECA,EECA,,,, 100 , 100 , 100 , 100 , 100 , 100 , 99 , 100 , 100 , 100 , MICS 2012 ," 429,051 ",220847.0,208204.0,341022.60633,88028.39367,79.483,20.517
BEL,Belgium,ECA,WE,,,,,,,,,,,,,,," 794,502 ",407149.0,387353.0,779239.61658,15262.3834200001,98.079,1.92100000000001
BLZ,Belize,LAC,,,,, 82 , 78 , 86 , 89 , 78 , 60 , 77 , 87 , 92 , 97 , MICS 2011 ," 45,554 ",23196.0,22358.0,20966.2285,24587.7715,46.025,53.975
BEN,Benin,SSA,WCA,LDC,Western Africa,All, 48 , 51 , 44 , 58 , 41 , 21 , 33 , 45 , 58 , 76 , DHS 2017-18 ," 1,823,596 ",924815.0,898781.0,882894.0034,940701.9966,48.415,51.585
BTN,Bhutan,SA,,LDC,,, 69 , 67 , 71 , 89 , 60 , 43 , 55 , 68 , 83 , 90 , MICS 2010 ," 101,310 ",51453.0,49857.0,42870.3396,58439.6604,42.316,57.684
BOL,Bolivia (Plurinational State of),LAC,,,,,,,,,,,,,,,," 1,388,590 ",706849.0,681741.0,973720.9657,414869.0343,70.123,29.877
BIH,Bosnia and Herzegovina,ECA,EECA,,,, 100 , 99 , 100 , 100 , 99 , 100 , 100 , 98 , 100 , 100 , MICS 2011-12 ,,,,,,49.02,50.98
BWA,Botswana,SSA,ESA,,Southern Africa,All,,,,,,,,,,,," 329,689 ",166271.0,163418.0,233673.67253,96015.32747,70.877,29.123
BRA,Brazil,LAC,,,,, 96 , 94 , 97 ,,,,,,,, Pesquisa Nacional por Amostra de Domicílios 2013 ," 14,145,864 ",7273407.0,6872457.0,12317228.16072,1828635.83928,87.073,12.927
VGB,British Virgin Islands,LAC,,,,,,,,,,,,,,,,,,,,,48.515,51.485
BRN,Brunei Darussalam,EAP,,,,,,,,,,,,,,,," 37,996 ",19517.0,18479.0,29731.87,8264.13,78.25,21.75
BGR,Bulgaria,ECA,EECA,,,,,,,,,,,,,,," 285,855 ",146787.0,139068.0,216352.2153,69502.7847,75.686,24.314
BFA,Burkina Faso,SSA,WCA,LDC,Western Africa,All, 31 , 32 , 29 , 58 , 21 , 10 , 17 , 22 , 35 , 60 , DHS 2010 ," 3,336,519 ",1697263.0,1639256.0,1021208.37033,2315310.62967,30.607,69.393
BDI,Burundi,SSA,ESA,LDC,Central Africa,All, 50 , 46 , 54 , 70 , 47 , 26 , 39 , 54 , 57 , 64 , DHS 2016-17 ," 1,760,442 ",878243.0,882199.0,241321.38936,1519120.61064,13.708,86.292
CPV,Cabo Verde,SSA,WCA,,Western Africa,All,,,,,,,,,,,," 66,091 ",33348.0,32743.0,44050.97332,22040.02668,66.652,33.348
KHM,Cambodia,EAP,,LDC,,, 73 , 68 , 79 , 85 , 71 , 48 , 64 , 75 , 86 , 90 , DHS 2014 ," 1,998,583 ",1024420.0,974163.0,484296.63256,1514286.36744,24.232,75.768
CMR,Cameroon,SSA,WCA,,Central Africa,All, 65 , 67 , 64 , 81 , 49 , 22 , 49 , 74 , 81 , 93 , MICS 2014 ," 3,962,167 ",1996799.0,1965368.0,2280623.3252,1681543.6748,57.56,42.44
CAN,Canada,,,,,,,,,,,,,,,,," 2,398,552 ",1227094.0,1171458.0,1956306.98224,442245.01776,81.562,18.438
CAF,Central African Republic,SSA,WCA,LDC,Central Africa,All, 43 , 54 , 33 , 62 , 27 , 14 , 20 , 34 , 54 , 70 , MICS 2010 ," 781,936 ",388485.0,393451.0,329961.35328,451974.64672,42.198,57.802
TCD,Chad,SSA,WCA,LDC,Central Africa,All, 27 , 31 , 24 , 53 , 19 , 16 , 18 , 19 , 20 , 57 , DHS 2014-15 ," 2,653,922 ",1336917.0,1317005.0,624202.4544,2029719.5456,23.52,76.48
CHL,Chile,LAC,,,,,,,,,,,,,,,," 1,484,940 ",756353.0,728587.0,1302693.3138,182246.6862,87.727,12.273
CHN,China,EAP,,,,, 97 , 97 , 97 , 98 , 96 ,,,,,, National Population Sample Survey 2015 ," 99,340,028 ",53492476.0,45847552.0,61022592.39984,38317435.60016,61.428,38.572
COL,Colombia,LAC,,,,, 93 , 91 , 95 , 95 , 87 , 84 , 92 , 95 , 98 , 98 , DHS 2015 ," 3,823,457 ",1951176.0,1872281.0,3113249.86225,710207.13775,81.425,18.575
COM,Comoros,SSA,ESA,LDC,Eastern Africa,All, 76 , 75 , 77 , 86 , 71 , 50 , 71 , 80 , 83 , 91 , DHS 2012 ," 124,857 ",63528.0,61329.0,36682.9866,88174.0134,29.38,70.62
COG,Congo,,,,Central Africa,All, 80 , 78 , 82 , 90 , 55 , 42 , 71 , 85 , 92 , 96 , MICS 2014-15 ," 865,454 ",435259.0,430195.0,587028.79366,278425.20634,67.829,32.171
COK,Cook Islands,EAP,,,,,,,,,,,,,,,," 1,623 ",811.0,812.0,1225.28385,397.71615,75.495,24.505
CRI,Costa Rica,LAC,,,,, 94 , 94 , 95 , 98 , 90 , 85 , 95 , 98 , 96 , 99 , MICS 2011 ," 431,424 ",220685.0,210739.0,348465.47904,82958.52096,80.771,19.229
CIV,Côte d'Ivoire,SSA,WCA,,Western Africa,All, 56 , 60 , 53 , 70 , 39 , 24 , 49 , 54 , 67 , 75 , MICS 2016 ," 3,900,719 ",1952238.0,1948481.0,2016905.76614,1883813.23386,51.706,48.294
HRV,Croatia,ECA,EECA,,,,,,,,,,,,,,," 174,937 ",89914.0,85023.0,100681.49161,74255.50839,57.553,42.447
CUB,Cuba,LAC,,,,, 100 , 99 , 100 , 99 , 100 ,,,,,, MICS 2014 ," 715,707 ",368419.0,347288.0,552482.86158,163224.13842,77.194,22.806
CYP,Cyprus,ECA,WE,,,,,,,,,,,,,,," 56,252 ",28834.0,27418.0,37588.14892,18663.85108,66.821,33.179
CZE,Czechia,ECA,WE,,,,,,,,,,,,,,," 580,600 ",298012.0,282588.0,429998.166,150601.834,74.061,25.939
PRK,Democratic People's Republic of Korea,EAP,,,,, 100 , 100 , 100 , 100 , 100 , 100 ,,,,, MICS 2017 ," 1,711,447 ",874607.0,836840.0,1067617.75307,643829.24693,62.381,37.619
COD,Democratic Republic of the Congo,SSA,WCA,LDC,Central Africa,All, 69 , 71 , 66 , 86 , 57 , 49 , 57 , 64 , 73 , 92 , DHS 2013-14 ," 14,178,081 ",7144095.0,7033986.0,6470592.60678,7707488.39322,45.638,54.362
DNK,Denmark,ECA,WE,,,,,,,,,,,,,,," 465,893 ",239548.0,226345.0,410526.27588,55366.72412,88.116,11.884
DJI,Djibouti,SSA,ESA,LDC,Eastern Africa,All,,,,,,,,,,,," 96,703 ",48935.0,47768.0,75488.29586,21214.70414,78.062,21.938
DMA,Dominica,LAC,,,,,,,,,,,,,,,," 6,635 ",3370.0,3265.0,4716.8215,1918.1785,71.09,28.91
DOM,Dominican Republic,LAC,,,,, 91 , 88 , 94 , 93 , 86 , 77 , 90 , 93 , 97 , 99 , MICS 2014 ," 1,160,293 ",590915.0,569378.0,957705.8422,202587.1578,82.54,17.46
ECU,Ecuador,LAC,,,,,,,,,,,,,,,," 1,887,087 ",964315.0,922772.0,1210868.24442,676218.75558,64.166,35.834
EGY,Egypt,MENA,,,Northern Africa,All, 91 , 91 , 92 , 93 , 90 , 87 , 89 , 91 , 92 , 97 , DHS 2014 ," 11,980,624 ",6170485.0,5810139.0,5125670.36592,6854953.63408,42.783,57.217
SLV,El Salvador,LAC,,,,, 86 , 84 , 89 , 91 , 81 , 71 , 83 , 91 , 96 , 97 , MICS 2014 ," 696,082 ",355561.0,340521.0,511230.46408,184851.53592,73.444,26.556
GNQ,Equatorial Guinea,SSA,WCA,,Central Africa,All,,,,,,,,,,,," 170,626 ",86448.0,84178.0,124727.606,45898.394,73.1,26.9
